saptamana,zona,produs,pret_lei,variatie_procente
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),VEST,RAPITA (lei/tona),1848,-30.19
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),EST,ORZ FURAJER (lei/tona),1000,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),EST,FLOAREA SOARELUI (lei/tona),2736,4.67
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),EST,RAPITA (lei/tona),2120,-20.06
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),SUD,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),SUD,FLOAREA SOARELUI (lei/tona),2661,14.06
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),SUD,RAPITA (lei/tona),2460,6.13
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1077,-3.06
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),VEST,GRAU FURAJER (lei/tona),1085,3.93
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),VEST,PORUMB (lei/tona),961,-1.03
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1100,-1.61
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),EST,GRAU FURAJER (lei/tona),1031,2.08
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),EST,PORUMB (lei/tona),1023,6.23
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1078,0.84
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),SUD,GRAU FURAJER (lei/tona),1029,-0.39
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),SUD,PORUMB (lei/tona),1002,-4.02
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1159,1.4
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),FOB CONSTANTA,PORUMB (lei/tona),1076,-6.11
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),FOB CONSTANTA,ORZ (lei/tona),1058,-1.12
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),VEST,ORZ FURAJER (lei/tona),1049,-4.55
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),VEST,FLOAREA SOARELUI (lei/tona),2557,-2.07
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),VEST,RAPITA (lei/tona),2647,-0.08
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),EST,ORZ FURAJER (lei/tona),1000,-3.1
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),EST,FLOAREA SOARELUI (lei/tona),2614,-4.95
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),EST,RAPITA (lei/tona),2652,28.74
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),SUD,ORZ FURAJER (lei/tona),1050,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),SUD,FLOAREA SOARELUI (lei/tona),2333,0.17
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),SUD,RAPITA (lei/tona),2318,-1.78
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 13/2025 (Saptamana 27 martie - 02 aprilie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1111,3.45
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),VEST,GRAU FURAJER (lei/tona),1044,-1.04
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),VEST,PORUMB (lei/tona),971,-1.72
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1118,-1.32
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),EST,GRAU FURAJER (lei/tona),1010,-5.78
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),EST,PORUMB (lei/tona),963,-0.31
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1069,3.38
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),SUD,GRAU FURAJER (lei/tona),1033,1.87
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),SUD,PORUMB (lei/tona),1044,6.64
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1143,7.42
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),FOB CONSTANTA,PORUMB (lei/tona),1146,15.06
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),VEST,ORZ FURAJER (lei/tona),1099,8.81
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),VEST,FLOAREA SOARELUI (lei/tona),2611,-1.29
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),VEST,RAPITA (lei/tona),2649,0.11
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),EST,ORZ FURAJER (lei/tona),1032,-6.18
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),EST,FLOAREA SOARELUI (lei/tona),2750,-2.72
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),SUD,ORZ FURAJER (lei/tona),1050,9.26
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),SUD,FLOAREA SOARELUI (lei/tona),2329,-3.76
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),SUD,RAPITA (lei/tona),2360,0.13
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 12/2025 (Saptamana 20 - 26 martie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1074,0.37
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),VEST,GRAU FURAJER (lei/tona),1055,1.25
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),VEST,PORUMB (lei/tona),988,-0.3
SAPTAMANA 11/2025 (Saptamana 13 - 19 martie 2025),VEST,ORZ (lei/tona),-,0
